PURCHASE EVENTS: 2026-07-01 to 2026-07-07
Date         Transaction ID        Ecommerce Purchases   Purchase Revenue
2026-07-06   6617261768843                           1             166.40
2026-07-06   6617273630859                           1             169.00
2026-07-06   6617287557259                           1             166.20
2026-07-06   6617312198795                           1              71.20
2026-07-06   6617328189579                           1             166.40
2026-07-06   6617361285259                           1             106.18
2026-07-06   6617363054731                           1             483.30
2026-07-06   6617377210507                           1             119.20
2026-07-06   6617384976523                           1             182.40
2026-07-06   6617386483851                           1              89.00
2026-07-06   6617409061003                           1             169.11
2026-07-06   6617420038283                           1             282.10
2026-07-06   6617448284299                           1             388.00
2026-07-06   6617496322187                           1             181.60
2026-07-06   6617503301771                           1             126.40
2026-07-06   6617546457227                           1              71.20
2026-07-06   6617630113931                           1             278.00
2026-07-06   6617651314827                           1             198.00
2026-07-06   6617662062731                           1             536.00
2026-07-05   6614751608971                           1             169.00
2026-07-05   6614888513675                           1             146.67
2026-07-05   6614928982155                           1             287.00
2026-07-05   6614934749323                           1             273.81
2026-07-05   6614935994507                           1             248.00
2026-07-05   6614944186507                           1             259.00
2026-07-05   6614977577099                           1             149.00
2026-07-05   6614989897867                           1             159.00
2026-07-05   6615076995211                           1             168.00
2026-07-05   6615254302859                           1             199.00
2026-07-05   6615320985739                           1             228.00
2026-07-05   6615347855499                           1             159.00
2026-07-05   6615427973259                           1             219.00
2026-07-05   6615443538059                           1             241.20
2026-07-05   6615454253195                           1             179.10
2026-07-05   6615479877771                           1              69.00
2026-07-05   6615491870859                           1             169.00
2026-07-05   6615536599179                           1              79.00
2026-07-05   6615574118539                           1             199.00
2026-07-05   6615596269707                           1              69.00
2026-07-05   6615616782475                           1             466.20
2026-07-05   6615618322571                           1              69.00
2026-07-05   6615635493003                           1             412.20
2026-07-05   6615656562827                           1             208.00
2026-07-05   6615719280779                           1             149.00
2026-07-04   6612489994379                           1             146.72
2026-07-04   6612932067467                           1             198.00
2026-07-04   6613035810955                           1             233.10
2026-07-04   6613169733771                           1              69.00
2026-07-04   6613183299723                           1             118.00
2026-07-04   6613302050955                           1              69.00
2026-07-04   6613306081419                           1             317.00
2026-07-04   6613307490443                           1             152.10
2026-07-04   6613438038155                           1             178.00
2026-07-04   6613657419915                           1             268.00
2026-07-04   6613663711371                           1              89.00
2026-07-04   6613730132107                           1             233.10
2026-07-04   6613807923339                           1             317.00
2026-07-03   6610299879563                           1             207.00
2026-07-03   6610901074059                           1             143.10
2026-07-03   6611021168779                           1             176.10
2026-07-03   6611142344843                           1              69.00
2026-07-03   6611258507403                           1             241.20
2026-07-03   6611266142347                           1             169.00
2026-07-03   6611428442251                           1             268.00
2026-07-03   6611438862475                           1             277.00
2026-07-03   6611564757131                           1             267.00
2026-07-03   6611826638987                           1              89.00
2026-07-03   6611955712139                           1             233.10
2026-07-02   6608334782603                           1             159.00
2026-07-02   6608380166283                           1             159.00
2026-07-02   6608638247051                           1             179.10
2026-07-02   6608853106827                           1             159.00
2026-07-02   6608878764171                           1             208.00
2026-07-02   6608892395659                           1             252.10
2026-07-02   6608900685963                           1             248.00
2026-07-02   6608917725323                           1             258.00
2026-07-02   6609032446091                           1             119.00
2026-07-02   6609108500619                           1             208.00
2026-07-02   6609113022603                           1             179.10
2026-07-02   6609166893195                           1             233.10
2026-07-02   6609191829643                           1             159.00
2026-07-02   6609241112715                           1              69.00
2026-07-02   6609389748363                           1             486.00
2026-07-02   6609409704075                           1             158.00
2026-07-02   6609416716427                           1              89.00
2026-07-02   6609602347147                           1             267.00
2026-07-02   6609717756043                           1              69.00
2026-07-02   6609742528651                           1             129.00
2026-07-02   6609773527179                           1             188.00
2026-07-02   6610030690443                           1              69.00
2026-07-02   6610062016651                           1             149.00
2026-07-01   6606500200587                           1             307.10
2026-07-01   6606843019403                           1             331.20
2026-07-01   6606969307275                           1             218.00
2026-07-01   6607094251659                           1             158.00
2026-07-01   6607102869643                           1              69.00
2026-07-01   6607169028235                           1             620.40
2026-07-01   6607180005515                           1             208.00
2026-07-01   6607315861643                           1             228.00
2026-07-01   6607327559819                           1             259.00
2026-07-01   6607458533515                           1             197.10
2026-07-01   6607471575179                           1              69.00
2026-07-01   6607509848203                           1             259.00
2026-07-01   6607743811723                           1             119.00
2026-07-01   6607783166091                           1             259.00
2026-07-01   6607790899339                           1             338.00
2026-07-01   6607814492299                           1             159.00
2026-07-01   6607934488715                           1             233.10
2026-07-01   6608000254091                           1              89.00
2026-07-01   6608041509003                           1             744.00
2026-07-01   6608072474763                           1             152.10
2026-07-01   6608079945867                           1             197.10
2026-07-01   6608091873419                           1             348.10
2026-07-01   6608092725387                           1             233.10
2026-07-01   6608093118603                           1              69.00
2026-07-01   6608119922827                           1             304.20
2026-07-01   6608124510347                           1             138.10
2026-07-01   6608148955275                           1             267.00

SUMMARY
Total rows returned: 207
Unique transaction IDs: 207
Total ecommerce purchases: 207
Total purchase revenue: 38968.40

RESPONSE METADATA
response.row_count: 207
response.metadata.time_zone: Australia/Sydney
response.metadata.data_loss_from_other_row: False
response.metadata.subject_to_thresholding: False
